t me us them sum
4.468e-2 0 0 85 85
4.482e-2 0 0 86 86
4.514e-2 0 0 87 87
4.608e-2 0 0 88 88
4.611e-2 0 0 89 89
4.628e-2 0 0 90 90
4.814e-2 0 0 91 91
4.856e-2 0 0 92 92
4.858e-2 0 0 93 93
4.864e-2 0 0 94 94
4.89e-2 0 0 95 95
4.903e-2 0 1 94 95
4.966e-2 0 1 95 96
4.971e-2 0 2 94 96
4.996e-2 0 2 95 97
5.036e-2 0 2 96 98
5.05e-2 0 2 97 99
5.067e-2 0 2 98 100
5.073e-2 0 3 97 100
5.261e-2 0 3 98 101
5.276e-2 0 4 97 101
5.491e-2 0 4 98 102
5.499e-2 0 4 99 103
5.549e-2 0 4 100 104
5.703e-2 0 4 101 105
5.869e-2 0 4 102 106
5.916e-2 0 4 103 107
5.978e-2 0 4 104 108
6.011e-2 0 4 105 109
6.08e-2 0 4 106 110
6.089e-2 0 4 107 111
6.194e-2 0 4 108 112
6.212e-2 0 4 109 113
6.25e-2 0 4 110 114
6.262e-2 0 4 111 115
6.371e-2 0 4 112 116
6.394e-2 0 4 113 117
6.488e-2 0 4 114 118
6.581e-2 0 4 115 119
6.667e-2 0 4 116 120
7.114e-2 0 4 117 121
7.281e-2 0 4 118 122
7.553e-2 0 4 119 123
7.623e-2 0 4 120 124
7.917e-2 0 4 121 125
8.114e-2 0 4 122 126
8.265e-2 0 4 123 127
8.402e-2 0 4 124 128
8.602e-2 0 4 125 129
8.656e-2 0 4 126 130
8.723e-2 0 4 127 131
8.805e-2 0 4 128 132
8.917e-2 0 4 129 133
9.26e-2 0 4 130 134
9.646e-2 0 4 131 135
0.10166 0 4 132 136
0.11682 0 5 131 136
0.11722 0 5 132 137
0.11944 0 5 133 138
0.12334 0 5 134 139
0.13514 0 5 135 140
0.13581 0 5 136 141
0.13684 0 5 137 142
0.14621 0 5 138 143
0.14787 0 5 139 144
0.15067 0 6 138 144
0.15639 0 7 137 144
0.15798 0 8 136 144
0.15904 0 9 135 144
0.1594 0 10 134 144
0.1616 0 10 135 145
0.16283 0 11 134 145
0.16297 0 11 135 146
0.17075 0 11 136 147
0.17178 0 12 135 147
0.17237 0 13 134 147
0.17504 0 14 133 147
0.17915 0 15 132 147
0.17949 0 16 131 147
0.18025 1 16 131 148
0.18322 1 17 130 148
0.18412 1 18 129 148
0.18464 1 19 128 148
0.18578 1 20 127 148
0.19069 1 21 126 148
0.19071 1 22 125 148
0.19381 1 23 124 148
0.19407 1 24 123 148
0.19485 1 25 122 148
0.19745 1 26 121 148
0.19844 1 27 120 148
0.19946 1 27 121 149
0.19966 1 28 120 149
0.20165 1 29 119 149
0.20401 1 30 118 149
0.20918 1 31 117 149
0.20998 1 32 116 149
0.21455 1 33 115 149
0.21976 1 34 114 149
0.21985 1 34 115 150
0.22022 1 34 116 151
0.22239 1 34 117 152
0.22385 1 35 116 152
0.22661 1 35 117 153
0.22708 1 36 116 153
0.22927 1 37 115 153
0.2297 1 38 114 153
0.23278 1 39 113 153
0.23521 1 40 112 153
0.2361 1 41 111 153
